LIBRARY_NAME,LATITUDE,LONGITUDE,ADDRESS,URLLINK
Renfrew,49.2524,-123.043,2969 E 22nd Av,http://www.vpl.ca/branches/details/renfrew_branch
Riley Park,49.2497,-123.1014,3981 Main St,http://www.vpl.ca/branches/details/riley_park_branch
South Hill,49.2295,-123.0903,6076 Fraser St,http://www.vpl.ca/branches/details/south_hill_branch
Strathcona,49.2798,-123.0915,592 E Pender St,http://www.vpl.ca/branches/details/strathcona_branch
West Point Grey,49.2635,-123.2086,4480 W 10th Av,http://www.vpl.ca/branches/details/west_point_grey_branch
Britannia,49.2756,-123.0738,1661 Napier St,http://www.vpl.ca/branches/details/britannia_branch
Carnegie,49.2811,-123.1001,401 Main St,http://www.vpl.ca/branches/details/carnegie_branch
Central Branch,49.2797,-123.1156,350 W Georgia St,http://www.vpl.ca/branches/details/central_library
Champlain Heights,49.2191,-123.0402,7110 Kerr St,http://www.vpl.ca/branches/details/champlain_heights_branch
Collingwood,49.2362,-123.0426,2985 Kingsway,http://www.vpl.ca/branches/details/collingwood_branch
Dunbar,49.246,-123.1856,4515 Dunbar St,http://www.vpl.ca/branches/details/dunbar_branch
Firehall,49.2629,-123.1376,1455 W 10th Av,http://www.vpl.ca/branches/details/firehall_branch
Fraserview,49.2197,-123.0669,1950 Argyle Drive,http://www.vpl.ca/branches/details/fraserview_branch
Hastings,49.2809,-123.05,2674 E Hastings St,http://www.vpl.ca/branches/details/hastings_branch
Joe Fortes,49.2899,-123.1361,870 Denman St,http://www.vpl.ca/branches/details/joe_fortes_branch
Kensington,49.2491,-123.0753,1428 Cedar Cottage Mews,http://www.vpl.ca/branches/details/kensington_branch
Kerrisdale,49.2332,-123.1571,2112 W 42nd Av,http://www.vpl.ca/branches/details/kerrisdale_branch
Kitsilano,49.2647,-123.1687,2425 Macdonald St,http://www.vpl.ca/branches/details/kitsilano_branch
Marpole,49.2104,-123.14,8386 Granville St,http://www.vpl.ca/branches/details/marpole_branch
Mount Pleasant,49.2643,-123.1002,1 Kingsway,http://www.vpl.ca/branches/details/mount_pleasant_branch
Oakridge,49.2327,-123.1172,191-650 W 41st Av,http://www.vpl.ca/branches/details/oakridge_branch
Outreach Services,49.2797,-123.1156,302-345 Robson St,http://www.vpl.ca/branches/details/outreach_branch