SCHOOL_NAME,LATITUDE,LONGITUDE,ADDRESS,URLLINK
King George Sec.,49.2898,-123.1364,1755 Barclay St,http://www.vsb.bc.ca/schools/king-george
Britannia Sec.,49.2752,-123.0719,1001 Cotton Drive,http://www.vsb.bc.ca/schools/britannia-secondary
Magee Sec.,49.2286,-123.1515,6360 Maple St,http://www.vsb.bc.ca/schools/magee
Kitsilano Sec.,49.2627,-123.1636,2550 W 10th Av,http://www.vsb.bc.ca/schools/kitsilano
John Oliver Sec.,49.232,-123.0928,530 E 41st Av,http://www.vsb.bc.ca/schools/john-oliver
Lord Byng Sec.,49.2596,-123.1925,3939 W 16th Av,http://www.vsb.bc.ca/schools/lord-byng
Templeton Sec.,49.2784,-123.0607,727 Templeton Drive,http://www.vsb.bc.ca/schools/templeton
Vancouver Technical Sec.,49.2608,-123.0513,2600 E Broadway,http://www.vsb.bc.ca/schools/vancouver-technical
Point Grey Sec.,49.2373,-123.1534,5350 Eest Boulevard,http://www.vsb.bc.ca/schools/point-grey
Gladstone Sec.,49.2476,-123.0616,4105 Gladstone St,http://www.vsb.bc.ca/schools/gladstone
Sir Winston ChurchillÂ Sec.,49.2211,-123.1256,7055 Heather St,http://www.vsb.bc.ca/schools/sir-winston-churchill
Killarney Sec.,49.2253,-123.0442,6454 Killarney St,http://www.vsb.bc.ca/schools/killarney
Sir Charles Tupper Sec.,49.2498,-123.0948,419 E 24th Av,http://www.vsb.bc.ca/schools/sir-charles-tupper
David Thompson Sec.,49.2204,-123.0706,1755 E 55th Av,http://www.vsb.bc.ca/schools/david-thompson
Prince Of Wales Sec.,49.245,-123.1595,2250 Eddington Drive,http://www.vsb.bc.ca/schools/prince-wales
Windermere Sec.,49.2465,-123.0372,3155 E 27th Av,http://www.vsb.bc.ca/schools/windermere
Eric Hamber Sec.,49.2396,-123.1258,5025 Willow St,http://www.vsb.bc.ca/
University Hill Sec.,49.2616,-123.2328,2896 Acadia Road,http://www.vsb.bc.ca/schools/university-hill
Lord Strathcona Elem.,49.2798,-123.0915,592 E Pender St,http://www.vsb.bc.ca/schools/lord-strathcona
Sir Guy Carleton Elem.,49.2343,-123.0376,3250 Kingsway,http://www.vsb.bc.ca/schools/sir-guy-carleton
Lord Roberts Elem.,49.2868,-123.1378,1100 Bidwell St,http://www.vsb.bc.ca/schools/lord-roberts
Admiral Seymour Elem.,49.2786,-123.0803,1130 Keefer St,http://www.vsb.bc.ca/schools/admiral-seymour
Macdonald Elem.,49.2807,-123.0647,1950 E Hastings St,http://www.vsb.bc.ca/schools/sir-william-macdonald
David Lloyd George Elem.,49.21,-123.1363,8370 Cartier St,http://www.vsb.bc.ca/schools/david-lloyd-george
Brock Elem.,49.2412,-123.1006,4860 Main St,http://www.vsb.bc.ca/schools/general-brock
Kerrisdale Elem.,49.2362,-123.1735,5555 Carnarvon St,http://www.vsb.bc.ca/schools/kerrisdale
Lord Selkirk Elem.,49.2497,-123.069,1750 E 22nd Av,http://www.vsb.bc.ca/schools/lord-selkirk
Nightingale Elem.,49.2601,-123.0937,2740 Guelph St,http://www.vsb.bc.ca/schools/florence-nightingale
Gordon Elem.,49.266,-123.1707,2896 W 6th Av,http://www.vsb.bc.ca/schools/general-gordon
Henry Hudson Elem.,49.2722,-123.1494,1551 Cypress St,http://www.vsb.bc.ca/schools/henry-hudson
Laura Secord Elem.,49.2617,-123.0602,2500 Lakewood Drive,http://www.vsb.bc.ca/schools/laura-secord
Walter Moberly Annex,49.2161,-123.0843,1000 E 59th Av,http://www.vsb.bc.ca/schools/walter-moberly
Trudeau Elem.,49.2145,-123.097,449 E 62nd Av,http://www.vsb.bc.ca/schools/pierre-elliott-trudeau
Van Horne Elem.,49.2316,-123.1066,5855 Ontario St,http://www.vsb.bc.ca/schools/sir-william-van-horne
Dickens Elem.,49.2549,-123.0829,3351 Glen Drive,http://www.vsb.bc.ca/schools/charles-dickens
Livingstone Elem.,49.2508,-123.098,315 E 23rd Av,http://www.vsb.bc.ca/schools/david-livingstone
Hastings Elem.,49.2826,-123.0506,2625 Franklin St,http://www.vsb.bc.ca/schools/hastings
John Norquay Elem.,49.2414,-123.0516,4710 Slocan St,http://www.vsb.bc.ca/schools/john-norquay
Sexsmith Elem.,49.2173,-123.1088,7455 Ontario St,http://www.vsb.bc.ca/schools/jw-sexsmith
Sir James Douglas Elem.,49.2156,-123.0649,7550 Victoria Drive,http://www.vsb.bc.ca/schools/sir-james-douglas
Franklin Elem.,49.2825,-123.0276,250 Skeena St,http://www.vsb.bc.ca/schools/sir-john-franklin
Sir Sandford Fleming Elem.,49.2257,-123.0766,1401 E 49th Av,http://www.vsb.bc.ca/schools/sir-sandford-fleming
Southlands Elem.,49.2381,-123.1978,5351 Camosun St,http://www.vsb.bc.ca/schools/southlands
Captain James Cook Elem.,49.2194,-123.0358,3340 E 54th Av,http://www.vsb.bc.ca/schools/captain-james-cook
Chief Maquinna Elem.,49.2679,-123.0506,2684 E 2nd Av,http://www.vsb.bc.ca/schools/chief-maquinna
Oppenheimer Elem.,49.2133,-123.0583,2421 Scarboro Av,http://www.vsb.bc.ca/schools/david-oppenheimer
Sir Charles Kingsford-Smith Elem.,49.2216,-123.0557,6901 Elliott St,http://www.vsb.bc.ca/schools/sir-charles-kingsford-smith
Carnarvon Elem.,49.2566,-123.1736,3400 Balaclava St,http://www.vsb.bc.ca/schools/carnarvon
Dr. A. R. Lord Elem.,49.2796,-123.0395,555 Lillooet St,http://www.vsb.bc.ca/schools/dr-ar-lord
McKechnie Elem.,49.2177,-123.154,7455 Maple St,http://www.vsb.bc.ca/schools/dr-re-mckechnie
Waverley Annex,49.2278,-123.0558,6111 Elliott St,http://www.vsb.bc.ca/schools/waverley
Cunningham Elem.,49.2367,-123.0575,2330 E 37th Av,http://www.vsb.bc.ca/schools/george-t-cunningham
Nootka Elem.,49.2536,-123.0429,3375 Nootka St,http://www.vsb.bc.ca/schools/nootka
Tecumseh Annex,49.2371,-123.0731,1551 E 37th Av,http://www.vsb.bc.ca/schools/tecumseh-annex
Jamieson Elem.,49.2269,-123.121,6350 Tisdall St,http://www.vsb.bc.ca/schools/dr-annie-b-jamieson
Weir Elem.,49.2296,-123.0444,2900 E 44th Av,http://www.vsb.bc.ca/schools/dr-george-m-weir
Henderson Elem.,49.2226,-123.0953,451 E 53rd Av,http://www.vsb.bc.ca/schools/john-henderson
Queen Victoria Annex,49.2672,-123.0663,1850 E 3rd Av,http://www.vsb.bc.ca/schools/queen-victoria-grandview-annex
McBride Annex,49.2419,-123.085,4750 St. Catherines St,http://www.vsb.bc.ca/schools/mcbride-annex
Bayview Elem.,49.2665,-123.1823,2251 Collingwood St,http://www.vsb.bc.ca/schools/bayview
Lord Beaconsfield Elem.,49.2521,-123.0527,3663 Penticton St,http://www.vsb.bc.ca/schools/lord-beaconsfield
Kitchener Elem.,49.2506,-123.1792,4055 Blenheim St,http://www.vsb.bc.ca/schools/lord-kitchener
Edith Cavell Elem.,49.2529,-123.1172,500 W 20th Av,http://www.vsb.bc.ca/schools/edith-cavell
Shaughnessy Elem.,49.2487,-123.1438,4250 Marguerite St,http://www.vsb.bc.ca/schools/shaughnessy
Begbie Elem.,49.2718,-123.038,1430 Lillooet St,http://www.vsb.bc.ca/schools/sir-matthew-begbie
Maple Grove Elem.,49.2294,-123.1515,6199 Cypress St,http://www.vsb.bc.ca/schools/maple-grove
Quilchena Elem.,49.2372,-123.1516,5300 Maple St,http://www.vsb.bc.ca/schools/quilchena
Grandview Elem.,49.2662,-123.0744,2055 Woodland Drive,http://www.vsb.bc.ca/schools/grandview
Renfrew Elem.,49.2515,-123.0321,3315 E 22nd Av,http://www.vsb.bc.ca/schools/renfrew
Sir Alexander Mackenzie Elem.,49.2345,-123.0867,960 E 39th Av,http://www.vsb.bc.ca/schools/sir-alexander-mackenzie
Queen Elizabeth Elem.,49.2578,-123.2011,4102 W 16th Av,http://www.vsb.bc.ca/schools/queen-elizabeth
Thunderbird Elem.,49.2636,-123.0319,2325 Cassiar St,http://www.vsb.bc.ca/schools/thunderbird
Trafalgar Elem.,49.2502,-123.1646,4170 Trafalgar St,http://www.vsb.bc.ca/http://www.vsb.bc.ca/schools/trafalgar
Laurier Elem.,49.2178,-123.125,7350 Laurel St,http://www.vsb.bc.ca/schools/sir-wilfred-laurier
Sir William Osler Elem.,49.2308,-123.1327,5970 Selkirk St,http://www.vsb.bc.ca/schools/sir-william-osler
Bruce Elem.,49.2421,-123.0257,3633 Tanner St,http://www.vsb.bc.ca/schools/graham-d-bruce
Queen Elizabeth Annex,49.2489,-123.1947,4275 Crown St,http://www.vsb.bc.ca/schools/queen-elizabeth-annex
Tillicum Annex,49.2863,-123.0556,2450 Cambridge St,http://www.vsb.bc.ca/schools/tillicum-annex
Kerrisdale Annex,49.2329,-123.1774,3250 W 43rd Av,http://www.vsb.bc.ca/schools/kerrisdale-annex
Lord Selkirk Annex,49.2453,-123.0725,4444 Dumfries St,http://www.vsb.bc.ca/schools/selkirk-annex
MacCorkindale Elem.,49.228,-123.0294,6100 Battison St,http://www.vsb.bc.ca/schools/dr-hn-maccorkindale
Chief Maquinna Annex,49.2664,-123.0451,2882 E 4th Av,http://www.vsb.bc.ca/schools/chief-maquinna
Henderson Annex,49.221,-123.088,801 E 54th Av,http://www.vsb.bc.ca/schools/henderson-annex
Tyee Elem.,49.2536,-123.0738,3525 Dumfries St,http://www.vsb.bc.ca/schools/tyee
Sir James Douglas Annex,49.2148,-123.0733,7668 Borden St,http://www.vsb.bc.ca/schools/sir-james-douglas-annex
Garibaldi Annex,49.2754,-123.0503,1025 Slocan St,http://www.vsb.bc.ca/
Laurier Annex,49.2107,-123.1194,590 W 65th Av,http://www.vsb.bc.ca/schools/laurier-annex
University Hill Elem.,49.2748,-123.2374,5395 Chancellor Boulevard,http://www.vsb.bc.ca/schools/university-hill-elementary
Dickens Annex,49.2502,-123.0827,3877 Glen Drive,http://www.vsb.bc.ca/schools/charles-dickens-annex
Mount Pleasant Elem.,49.264,-123.094,2300 Guelph St,http://www.vsb.bc.ca/schools/mount-pleasant
Champlain Heights Elem.,49.2206,-123.0277,6955 Frontenac St,http://www.vsb.bc.ca/schools/champlain-heights
Lord Roberts Annex,49.2831,-123.1298,1150 Nelson St,http://www.vsb.bc.ca/schools/roberts-annex
Britannia Elem.,49.2745,-123.0714,1110 Cotton Drive,http://www.vsb.bc.ca/schools/britannia-elementary
Jules Quesnel Elem.,49.2596,-123.1925,3050 Crown St,http://www.vsb.bc.ca/schools/jules-quesnel
False Creek Elem.,49.2671,-123.1269,900 School Green,http://www.vsb.bc.ca/schools/false-creek
Champlain Heights Annex,49.2141,-123.0305,7835 Champlain Crescent,http://www.vsb.bc.ca/schools/champlain-heights-annex
Queen Alexandra Elem.,49.262,-123.0759,1300 E Broadway,http://www.vsb.bc.ca/schools/queen-alexandra
Queen Mary Elem.,49.2679,-123.2048,2000 Trimble St,http://www.vsb.bc.ca/http://www.vsb.bc.ca/schools/queen-mary
Fraser Elem.,49.2572,-123.1082,100 W 15th Av,http://www.vsb.bc.ca/
L'Ecole Bilingue Elem.,49.2581,-123.1304,1166 W 14th Av,http://www.vsb.bc.ca/schools/lecole-bilingue
Carr Elem.,49.25,-123.1261,4070 Oak St,http://www.vsb.bc.ca/schools/emily-carr
Wolfe Elem.,49.2472,-123.106,4251 Ontario St,http://www.vsb.bc.ca/schools/general-wolfe
Lord Nelson Elem.,49.2725,-123.0597,2235 Kitchener St,http://www.vsb.bc.ca/schools/lord-nelson
Tennyson Elem.,49.2625,-123.1494,1936 W 10th Av,http://www.vsb.bc.ca/schools/lord-tennyson
McBride Elem.,49.2442,-123.0782,1300 E 29th Av,http://www.vsb.bc.ca/schools/sir-richard-mcbride
Grenfell Elem.,49.2429,-123.0348,3323 Wellington Av,http://www.vsb.bc.ca/schools/sir-wilfred-grenfell
Tecumseh Elem.,49.2321,-123.068,1850 E 41st Av,http://www.vsb.bc.ca/schools/tecumseh
Elsie Roy Elem.,49.2722,-123.1225,150 Drake St,http://www.vsb.bc.ca/schools/elsie-roy
Collingwood Neighbourhood School,49.2363,-123.0323,3417 Euclid Av,http://www.vsb.bc.ca/schools/collingwood-neighbourhood-bruce-annex
Walter Moberly Elem.,49.2161,-123.0843,1000 E 59th Av,http://www.vsb.bc.ca/schools/walter-moberly
Waverley Elem.,49.2278,-123.0558,6111 Elliott St,http://www.vsb.bc.ca/schools/waverley
VLN - Secondary,49.232,-123.0919,530 E 41st Av,http://www.vsb.bc.ca/schools/vancouver-learning-network-secondary-0
VLN - Elementary,49.2754,-123.0498,1025 Slocan St,http://www.vsb.bc.ca/schools/vanocuver-learning-network-elementary
