STATION,LATITUDE,LONGITUDE
WATERFRONT,49.2860754854534,-123.111738155627
BURRARD,49.2858601496795,-123.119972336831
GRANVILLE,49.283637687868,-123.116404027665
STADIUM - CHINATOWN,49.2794416930073,-123.109564795656
MAIN ST. - SCIENCE WORLD,49.2731779129892,-123.100606907519
BROADWAY,49.2618178476574,-123.069099402992
NANAIMO,49.2482722113395,-123.055871516595
29TH AVENUE,49.2442425934525,-123.045940674179
JOYCE - COLLINGWOOD,49.2383938064042,-123.031806717203
RUPERT,49.2607647789392,-123.032823831819
RENFREW,49.2588929116829,-123.045308458871
COMMERCIAL DRIVE,49.2629362685029,-123.068453898483
VCC - CLARK,49.2657831997846,-123.078962252228
WATERFRONT,49.2856657680684,-123.113339268651
VANCOUVER CITY CENTRE,49.2817347083403,-123.119284088603
YALETOWN - ROUNDHOUSE,49.2743622559599,-123.121890377366
OLYMPIC VILLAGE,49.2663402332818,-123.115196678961
BROADWAY - CITY HALL,49.2627734692127,-123.114782181714
KING EDWARD,49.2491228793693,-123.115336104396
OAKRIDGE 41ST. AVE.,49.2334668118154,-123.116040675754
LANGARA - 49TH AVE.,49.2263869203063,-123.116324861119
MARINE DRIVE,49.2095478744258,-123.117070775897